created_at,field1,field2,field3,field4
2022-07-13 23:18:34.394649,3.24,0,96.89147399999999,29.75
2022-07-13 23:18:34.792906,2.91,0,96.89147399999999,29.75
2022-07-13 23:18:35.225740,0.73,0,96.89147399999999,29.75
2022-07-13 23:18:35.613668,0.78,0,96.89147399999999,29.75
2022-07-13 23:18:35.985072,2.33,0,96.89147399999999,29.75
2022-07-13 23:18:36.356068,2.99,0,96.89147399999999,29.75
2022-07-13 23:18:36.730936,3.21,0,96.89147399999999,29.75
2022-07-13 23:18:37.111786,1.71,0,96.89147399999999,29.75
2022-07-13 23:18:37.469466,2.82,0,96.89147399999999,29.75
2022-07-13 23:18:37.852551,2.49,0,96.89147399999999,29.75
2022-07-13 23:18:38.237090,0.82,0,96.89147399999999,29.75
2022-07-13 23:18:38.615010,0.8,0,96.89147399999999,29.75
2022-07-13 23:18:38.993700,0.71,0,96.89147399999999,29.75
2022-07-13 23:18:39.368843,2.1,0,96.89147399999999,29.75
2022-07-13 23:18:39.777353,2.82,0,96.89147399999999,29.75
2022-07-13 23:18:40.150610,2.95,0,96.89147399999999,29.75
2022-07-13 23:18:40.531715,3.22,0,96.89147399999999,29.75
2022-07-13 23:18:40.926693,3.14,0,96.89147399999999,29.75
2022-07-13 23:18:41.316842,1.04,0,96.89147399999999,29.75
2022-07-13 23:18:41.695393,2.17,0,96.89147399999999,29.75
2022-07-13 23:18:42.047786,2.61,0,96.89147399999999,29.75
2022-07-13 23:18:42.417109,2.76,0,96.89147399999999,29.75
2022-07-13 23:18:42.795329,2.31,0,96.89147399999999,29.75
2022-07-13 23:18:43.156820,1.69,0,96.89147399999999,29.75
2022-07-13 23:18:43.529625,0.7,0,96.89147399999999,29.75
2022-07-13 23:18:43.898553,0.04,0,96.89147399999999,29.75
2022-07-13 23:18:44.277924,0.69,0,96.89147399999999,29.75
2022-07-13 23:18:44.682903,1.64,0,96.89147399999999,29.75
2022-07-13 23:18:45.116147,0.67,0,96.89147399999999,29.75
2022-07-13 23:18:45.491681,0.0,0,96.89147399999999,29.75
2022-07-13 23:18:45.862501,0.06,0,96.89147399999999,29.75
2022-07-13 23:18:46.253753,0.62,0,96.89147399999999,29.75
2022-07-13 23:18:46.641480,1.5,0,96.89147399999999,29.75
2022-07-13 23:18:47.007619,0.44,0,96.89147399999999,29.75
2022-07-13 23:18:47.382453,0.75,0,96.89147399999999,29.75
2022-07-13 23:18:47.754726,1.2,0,96.89147399999999,29.75
2022-07-13 23:18:48.133312,1.19,0,96.89147399999999,29.75
2022-07-13 23:18:48.526539,1.46,0,96.89147399999999,29.75
2022-07-13 23:18:48.896737,1.97,0,96.89147399999999,29.75
2022-07-13 23:18:49.312454,2.07,0,96.89147399999999,29.75
2022-07-13 23:18:49.686709,2.33,0,96.89147399999999,29.75
2022-07-13 23:18:50.102594,2.19,0,96.89147399999999,29.75
2022-07-13 23:18:50.505354,0.68,0,96.89147399999999,29.75
2022-07-13 23:18:50.883845,2.39,0,96.89147399999999,29.75
2022-07-13 23:18:51.257036,2.22,0,96.89147399999999,29.75
2022-07-13 23:18:51.929064,0.23,0,96.89147399999999,29.75
2022-07-13 23:18:52.293932,0.0,0,96.89147399999999,29.75
2022-07-13 23:18:52.963819,0.0,0,96.89147399999999,29.75
2022-07-13 23:18:53.358393,3.15,0,96.89147399999999,29.75
2022-07-13 23:18:53.745061,2.14,0,96.89147399999999,29.75
